"Country","cases","deads","mortality","deadsPER100k","casesPER100k","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent","doctors_density","nursing_density"
"Mauritania",7554,163,2.2,3.7,162.46,38.8010203838348,4.40315157175064,49.545481801033,41,19,1248,1301,-53,-1.1,0.358,0.528,1.728e+10,NA,NA,NA,0.18,1.0673
"Mauritius",404,10,2.5,0.79,31.77,42.8672343492508,5.71872070431709,48.8656491041183,63,257,2912,3337,-425,-3.5,0.688,0.796,2.827e+10,15,"15","15",2.6,3.5152
"Mexico",821045,83945,10.2,66.52,636.8,51.5124559402466,5.51654137670994,41.2832766771317,76,255,292800,314900,-22100,-1.9,0.595,0.767,2.463e+12,30,"35","16",2.38,2.5076
"Moldova",62618,1478,2.4,41.68,1552.27,50.6165027618408,7.0129506289959,43.6354845762253,69,97,2796,3027,-231,-2.9,0.638,0.711,2.372e+10,12,"12","20",NA,NA
"Montenegro",14050,211,1.5,33.9,2237.03,NA,NA,NA,68,399,1620,1950,-330,-7.5,0.746,0.816,1.108e+10,9,"12.65","21",NA,NA
"Morocco",153761,2636,1.7,7.32,416.58,42.9053366184235,5.24520017206669,53.9362132549286,70,69,26630,30710,-4080,-3.7,NA,NA,2.986e+11,31,"38","20",0.73,1.3887
"Mozambique",10088,72,0.7,0.24,32.28,29.8636168241501,4.94119822978973,7.39533454179764,46,6,2758,3607,-849,-6.9,0.309,0.446,3.709e+10,NA,NA,NA,0.08,0.6842
"Namibia",11989,129,1.1,5.27,471.84,46.1430639028549,8.55095684528351,7.73419514298439,62,206,3967,4759,-792,-6.3,0.418,0.645,2.66e+10,32,"37","15",0.59,2.0199
"Nepal",111802,645,0.6,2.3,383.71,22.3403111100197,5.55329509079456,57.7985525131226,48,11,6993,8833,-1840,NA,0.43,0.579,7.919e+10,30,"36","13",0.91,2.8479
"Netherlands",187138,6654,3.6,38.62,1092.15,64.3979668617249,10.1008348166943,11.0869333148003,86,4334,344800,340200,4600,0.6,0.87,0.933,9.244e+11,25,"49.50","21",3.61,11.1839
"New Zealand",1872,25,1.3,0.51,38.82,75.4573822021484,9.1700553894043,13.5770738124847,87,2971,73200,71900,1300,0.7,0.836,0.921,1.89e+11,28,"33","15",3.47,12.3207
"Nicaragua",5264,153,2.9,2.37,79.46,58.0851316452026,8.64546522498131,32.5990498065948,73,112,3800,4074,-274,-2,0.501,0.651,3.64e+10,NA,NA,NA,1.01,1.5524
"Niger",1202,69,5.7,0.31,4.97,33.4261268377304,7.73996263742447,47.8285133838654,37,10,1680,2235,-555,-6,0.272,0.377,2.186e+10,NA,NA,NA,NA,NA
"Nigeria",60430,1115,1.8,0.57,29.32,14.1832575201988,3.75553853809834,77.2248029708862,42,10,13970,22150,-8180,-2.1,0.349,0.534,1.121e+12,30,"24","7.5",NA,NA
"North Macedonia",21113,797,3.8,38.26,1013.4,67.3533260822296,6.06211498379707,31.9056153297424,72,221,3314,3655,-341,-3,0.66,0.759,NA,10,"18","18",NA,NA
"Norway",15639,276,1.8,5.19,288.48,85.4730546474457,10.4463420808315,14.1772866249084,87,6783,214300,198000,16300,4.2,0.889,0.954,3.812e+11,23,"23","25",2.83,18.1559
"Oman",106575,1046,1,21.66,2086.99,87.7427697181702,3.849071636796,6.69259130954742,69,516,22680,32070,-9390,-13,0.732,0.834,1.901e+11,15,"0","0",1.96,4.2731
"Pakistan",319848,6588,2.1,3.1,144.8,31.5850645303726,2.89863366633654,60.2368772029877,45,14,45640,59280,-13640,-4.5,0.386,0.56,1.061e+12,31,"31","17",1,0.5986
"Panama",120802,2502,2.1,59.9,2799.73,59.9185585975647,7.31949135661125,33.2700669765472,79,666,12600,13560,-960,-1.6,0.626,0.795,1.041e+11,25,"27","7",1.57,3.0866
"Papua New Guinea",565,7,1.2,0.08,6.31,75.4125416278839,2.46927607804537,8.99854451417923,40,46,3649,4763,-1114,-5.1,NA,NA,3.019e+10,NA,NA,NA,0.05,0.2253
"Paraguay",50344,1096,2.2,15.76,705.84,45.4697281122208,6.65456876158714,44.1762536764145,69,173,5366,5876,-510,-1.8,0.562,0.724,8.891e+10,10,"10","10",1.37,0.7387
"Peru",851171,33357,3.9,104.28,2581.51,63.351708650589,4.99515049159527,28.1882584095001,77,211,59660,65480,-5820,-2.8,0.612,0.759,4.303e+11,30,"30","16",1.3,2.213
"Philippines",342816,6332,1.8,5.94,312.84,31.9104731082916,4.44640778005123,53.045779466629,61,42,44740,53550,-8810,-2.7,0.582,0.712,8.772e+11,30,"35","12",0.6,5.2744
"Poland",130210,3039,2.3,8,344.05,68.9672648906708,6.5419539809227,23.0497926473618,75,625,90800,102200,-11400,-2.2,0.801,0.872,1.126e+12,19,"32","23",2.38,5.7029
"Portugal",87913,2094,2.4,20.37,862.17,66.2546098232269,8.96957442164421,27.5320798158646,82,1354,92990,96830,-3840,-1.8,0.742,0.85,3.141e+11,21,"48","23",5.12,6.9746
"Qatar",128191,220,0.2,7.91,4449.45,80.7372570037842,2.60742865502834,8.902657777071,68,1332,41470,54970,-13500,-8.1,NA,NA,3.395e+11,10,"0","0",NA,NA
"Romania",157352,5467,3.5,28.07,817.94,78.587794303894,5.15788830816746,20.4880461096764,74,436,58500,65540,-7040,-3.4,0.725,0.816,4.834e+11,16,"10","19",2.98,7.3891
"Russia",1305093,22594,1.7,15.64,894.3,57.0887506008148,5.34457787871361,40.4930830001831,74,334,253900,287500,-33600,-2.3,0.743,0.824,4.016e+12,20,"47","20",4.01,8.5429
